OBJECTID,TEHSIL,DISTRICT,STATE,VILLAGE,Shape_Leng,Shape_Area,REALTEHSIL
3667,PEHOWA,KURUKSHETRA,HARYANA,MORTHALI,9692.58024839,4884376.71861,PEHOWA
3668,PEHOWA,KURUKSHETRA,HARYANA,JHINWARHERI (28),9754.352692,4154655.20422,THANESAR
3669,PEHOWA,KURUKSHETRA,HARYANA,BAKHLI,20297.1792384,18358566.0552,PEHOWA
3670,PEHOWA,KURUKSHETRA,HARYANA,SATORA,9617.76153993,3042965.67506,PEHOWA
3671,PEHOWA,KURUKSHETRA,HARYANA,GULDEHRA,16731.6745408,9189290.51623,PEHOWA
3672,PEHOWA,KURUKSHETRA,HARYANA,KHERI SHISHGRAN,13514.4791182,6566280.57349,PEHOWA
3673,PEHOWA,KURUKSHETRA,HARYANA,KARAHA,16883.4628772,10964343.528,PEHOWA
3674,PEHOWA,KURUKSHETRA,HARYANA,HELWA,9665.70220556,3220190.44031,PEHOWA
3675,SHAHABAD,KURUKSHETRA,HARYANA,SUDHPUR,11873.0433124,6260224.99375,THANESAR
3676,SHAHABAD,KURUKSHETRA,HARYANA,ATWAN,6497.29144354,2484461.44331,SHAHABAD
3677,SHAHABAD,KURUKSHETRA,HARYANA,BARAM,9581.75868582,5788029.94338,THANESAR
3678,SHAHABAD,KURUKSHETRA,HARYANA,KHERA,10246.854364,2460182.2196,SHAHABAD
3679,SHAHABAD,KURUKSHETRA,HARYANA,KATLAHERI,10717.445567,5334210.79866,SHAHABAD
3680,SHAHABAD,KURUKSHETRA,HARYANA,AHMADPUR,5873.60720429,1598788.17836,SHAHABAD
3681,PIPLI,KURUKSHETRA,HARYANA,DHIRPUR,6928.01918265,2714399.69827,THANESAR
3682,PIPLI,KURUKSHETRA,HARYANA,SARAI SUKHI,7534.75328246,3624751.90321,SHAHABAD
3683,SHAHABAD,KURUKSHETRA,HARYANA,RAWALKHERI,5373.46006907,1605172.33388,SHAHABAD
3684,PIPLI,KURUKSHETRA,HARYANA,KANIPALA,9973.09200019,5551086.90962,THANESAR
3685,SHAHABAD,KURUKSHETRA,HARYANA,CHANARTHAL,8540.30210262,4366448.63644,SHAHABAD
3686,SHAHABAD,KURUKSHETRA,HARYANA,DHANTORI,7862.18248806,2778270.45293,SHAHABAD
3687,PIPLI,KURUKSHETRA,HARYANA,MASANA,8950.51076448,4499339.9433,THANESAR
3688,PIPLI,KURUKSHETRA,HARYANA,DUDHLA,9316.37232673,3954119.93319,THANESAR
3689,PIPLI,KURUKSHETRA,HARYANA,BIR CHHAPAR,10753.2482682,4460228.30579,SHAHABAD
3690,SHAHABAD,KURUKSHETRA,HARYANA,MACHHRAULI,10185.5105863,5029201.74777,SHAHABAD
3691,SHAHABAD,KURUKSHETRA,HARYANA,KHARINDWA,15819.2385133,12280944.018699998,SHAHABAD
3692,BABAIN,KURUKSHETRA,HARYANA,SUJRI,5663.69325659,1417379.15586,BABAIN
3693,BABAIN,KURUKSHETRA,HARYANA,MANDOKHARA,5320.1726303,895698.909866,BABAIN
3694,BABAIN,KURUKSHETRA,HARYANA,JAL KHERI,10146.0737987,4206750.73505,THANESAR
3695,BABAIN,KURUKSHETRA,HARYANA,RAMNAGAR-156,7432.09710609,2406443.83419,BABAIN
3696,BABAIN,KURUKSHETRA,HARYANA,KASITHAL,7759.09507799,1957773.51842,BABAIN
3697,BABAIN,KURUKSHETRA,HARYANA,RAMPURA,9470.06220736,3088105.15267,BABAIN
3698,BABAIN,KURUKSHETRA,HARYANA,KALAL MAJRA,6136.07160592,1915016.16526,THANESAR
3699,BABAIN,KURUKSHETRA,HARYANA,MIRECHAHERI,7754.43432435,2823250.19331,THANESAR
3700,PIPLI,KURUKSHETRA,HARYANA,MORTHALA,7901.57047786,3775659.29427,THANESAR
3701,BABAIN,KURUKSHETRA,HARYANA,BANGARO,4793.09897385,1190002.21973,THANESAR
3702,PIPLI,KURUKSHETRA,HARYANA,BODLA,8496.18846311,4576466.01144,THANESAR
3703,BABAIN,KURUKSHETRA,HARYANA,BAGRAT,12946.2522341,3672881.35193,BABAIN
3704,BABAIN,KURUKSHETRA,HARYANA,BHAGWANPUR,7905.39372967,2539708.71857,BABAIN
3705,BABAIN,KURUKSHETRA,HARYANA,BABAIN,20508.7651581,6764094.06052,BABAIN
3706,BABAIN,KURUKSHETRA,HARYANA,RURKI,11399.6641898,3790425.68608,BABAIN
3707,BABAIN,KURUKSHETRA,HARYANA,JALALUDIN MAJRA,9371.02107839,3313201.0329,LADWA
3708,BABAIN,KURUKSHETRA,HARYANA,LOHARA,7184.83862938,2694426.9334,BABAIN
3709,PIPLI,KURUKSHETRA,HARYANA,BIRKHAIRI,11729.2093383,3868382.28951,THANESAR
3710,LADWA,KURUKSHETRA,HARYANA,SONTI,1212.64603525,79488.73540400002,
3711,LADWA,KURUKSHETRA,HARYANA,BIR SONTI,16089.397729,4228431.14889,THANESAR
3712,LADWA,KURUKSHETRA,HARYANA,NIWARSI,17992.1106822,9474003.49594,LADWA
3713,LADWA,KURUKSHETRA,HARYANA,BARAICHPUR,6088.63739633,1480499.78519,LADWA
3714,LADWA,KURUKSHETRA,HARYANA,DABKHERA,12564.9102972,2548330.21371,LADWA
3715,LADWA,KURUKSHETRA,HARYANA,BAPDI,9355.41785624,2814994.99552,LADWA
3716,LADWA,KURUKSHETRA,HARYANA,LATHI DHANAURA,5712.92335524,1598674.99482,LADWA
3717,LADWA,KURUKSHETRA,HARYANA,BAPDA,6900.76870802,2456268.28387,LADWA
3718,LADWA,KURUKSHETRA,HARYANA,BUDHA,10102.4333431,3030365.08333,LADWA
3719,LADWA,KURUKSHETRA,HARYANA,BAN,14405.7961088,8170136.43056,LADWA
3720,LADWA,KURUKSHETRA,HARYANA,LADWA,12877.8521535,5991998.03822,LADWA
3721,LADWA,KURUKSHETRA,HARYANA,BAKALI,9549.18415535,4725826.65539,LADWA
3722,LADWA,KURUKSHETRA,HARYANA,DEHRA,8144.95537637,2996029.07864,LADWA
3723,BABAIN,KURUKSHETRA,HARYANA,RAMNAGAR-112,6686.5457444,2274876.05109,BABAIN
3724,BABAIN,KURUKSHETRA,HARYANA,KALIRANO,7612.18800194,1911683.26427,BABAIN
3725,BABAIN,KURUKSHETRA,HARYANA,BHAINI,8327.76160449,1779525.19986,BABAIN
3726,LADWA,KURUKSHETRA,HARYANA,HALAL PUR,5656.43245859,1943519.88193,LADWA
3727,LADWA,KURUKSHETRA,HARYANA,PRAHLADPUR,5884.35950072,833149.129609,LADWA
3728,LADWA,KURUKSHETRA,HARYANA,DHANAURA JATTAN,15079.6672844,4880637.46617,LADWA
3729,LADWA,KURUKSHETRA,HARYANA,BAHLOLPUR,6484.69234617,1951053.04955,LADWA
3730,LADWA,KURUKSHETRA,HARYANA,SULTANPUR,10045.5274465,2441585.24253,LADWA
3730,BABAIN,KURUKSHETRA,HARYANA,BHUKHRI,4683.08894096,1499436.97973,BABAIN
3732,BABAIN,KURUKSHETRA,HARYANA,JANDAULA,5348.27666483,1955945.8522,BABAIN
3733,BABAIN,KURUKSHETRA,HARYANA,MEHUWA KHERI,5823.2150756,1868703.24118,LADWA
3734,BABAIN,KURUKSHETRA,HARYANA,NAKHROJPUR,4206.48028902,986889.113758,LADWA
3735,LADWA,KURUKSHETRA,HARYANA,BHARTHAULI,1374.10496502,65419.2760127,LADWA
3736,BABAIN,KURUKSHETRA,HARYANA,SANGHOR,11003.8427884,6712723.777970001,BABAIN
3737,BABAIN,KURUKSHETRA,HARYANA,PHALSAKDA RANGRAN,3725.51027184,805310.864215,BABAIN
