OBJECTID,BLOCK,DISTRICT,STATE,VILLAGE,CODE,Shape_Leng,Shape_Area,TEHSIL
3809,LADWA,KURUKSHETRA,HARYANA,CHHALAUNDI,C07,11140.42904,5241219.283,LADWA
3810,LADWA,KURUKSHETRA,HARYANA,JANDHERA,J08,8641.485844,3120050.969,LADWA
3811,LADWA,KURUKSHETRA,HARYANA,BARSHAMI,B26,4368.384365,1059112.232,LADWA
3812,LADWA,KURUKSHETRA,HARYANA,SURA,S48,4691.333982,1056877.577,LADWA
3813,LADWA,KURUKSHETRA,HARYANA,KHERI DABDALAN,K35,9269.976389,4072829.958,LADWA
3814,LADWA,KURUKSHETRA,HARYANA,MEHRA,M20,11327.82909,6764608.101,LADWA
3815,LADWA,KURUKSHETRA,HARYANA,GUDHA,G18,13583.26018,7394393.917,LADWA
3816,LADWA,KURUKSHETRA,HARYANA,BIR BHARTAULI,B52,6935.695523,1121684.213,LADWA
3817,LADWA,KURUKSHETRA,HARYANA,GAJLANA,G02,10602.54986,3964629.102,LADWA
3841,LADWA,KURUKSHETRA,HARYANA,KHARKALI,K30,12243.38738,2827708.888,LADWA
3842,LADWA,KURUKSHETRA,HARYANA,CHHAPRA,C10,6099.743926,2048470.092,LADWA
3843,LADWA,KURUKSHETRA,HARYANA,BHARTHAULI,B37,14404.58239,6503559.856,LADWA
3869,LADWA,KURUKSHETRA,HARYANA,JOGI MAJRA,J19,6882.382778,1511792.925,LADWA
3518,LADWA,KURUKSHETRA,HARYANA,SONTI,S40,6313.758609,1927727.135,THANESAR
3711,LADWA,KURUKSHETRA,HARYANA,BIR SONTI,B59,16089.39773,4228431.149,THANESAR
3570,PEHOWA,KURUKSHETRA,HARYANA,SAIDPUR SHAHIDAN,S02,8496.070367,3372440.826,ISMAILABAD
3584,PEHOWA,KURUKSHETRA,HARYANA,KHERI  SHAHIDAN,K33,7404.258036,2106431.627,ISMAILABAD
3651,PEHOWA,KURUKSHETRA,HARYANA,NAISI,N03,13819.5071,7548511.249,ISMAILABAD
3655,PEHOWA,KURUKSHETRA,HARYANA,JAKHWALA,J03,11480.57755,5545769.418,ISMAILABAD
3871,PEHOWA,KURUKSHETRA,HARYANA,TANGAULI,T05,9894.1528,2756083.286,ISMAILABAD
3873,PEHOWA,KURUKSHETRA,HARYANA,MADHADO,M03,6137.193935,1550066.194,ISMAILABAD
5,PEHOWA,KURUKSHETRA,HARYANA,TEH BIR BADSUYA,T10,,,PEHOWA
9,PEHOWA,KURUKSHETRA,HARYANA,RAMPURA,R09,,,PEHOWA
3523,PEHOWA,KURUKSHETRA,HARYANA,BHERIAN,B39,6366.568311,2169631.47,PEHOWA
3526,PEHOWA,KURUKSHETRA,HARYANA,DHULGARH,D25,9099.832609,1776728.17,PEHOWA
3537,PEHOWA,KURUKSHETRA,HARYANA,GALEDWA,G03,7276.545964,2998677.764,PEHOWA
3545,PEHOWA,KURUKSHETRA,HARYANA,CHHAJUPUR,C06,9339.552002,2822282.84,PEHOWA
3562,PEHOWA,KURUKSHETRA,HARYANA,GARI LANGRI,G07,8107.798064,2742775.054,PEHOWA
3568,PEHOWA,KURUKSHETRA,HARYANA,NEEMBWALA,N08,7206.3634,3284858.668,PEHOWA
3617,PEHOWA,KURUKSHETRA,HARYANA,BACHAKI,B03,7465.605489,3177662.638,PEHOWA
3618,PEHOWA,KURUKSHETRA,HARYANA,CHANALHERI,C02,12204.64741,7449458.588,PEHOWA
3620,PEHOWA,KURUKSHETRA,HARYANA,SURMI,S51,11417.05953,7564148.91,PEHOWA
3631,PEHOWA,KURUKSHETRA,HARYANA,BHOR SAIDAN,B41,16870.67656,8185077.768,PEHOWA
3632,PEHOWA,KURUKSHETRA,HARYANA,MUQIMPUR,M34,7169.950229,1765642.875,PEHOWA
3633,PEHOWA,KURUKSHETRA,HARYANA,TAKORAN,T03,6666.980392,2317042.138,PEHOWA
3634,PEHOWA,KURUKSHETRA,HARYANA,NIKAT PURA,N09,7076.216624,2666650.27,PEHOWA
3636,PEHOWA,KURUKSHETRA,HARYANA,SINGHPURA,S35,4924.455198,1076693.711,PEHOWA
3637,PEHOWA,KURUKSHETRA,HARYANA,BIBIPUR KALAN,B47,10052.58308,5701380.018,PEHOWA
3638,PEHOWA,KURUKSHETRA,HARYANA,SAINSA,S03,10559.23528,4783550.969,PEHOWA
3639,PEHOWA,KURUKSHETRA,HARYANA,MURTZAPUR,M36,18697.71908,11495571.79,PEHOWA
3640,PEHOWA,KURUKSHETRA,HARYANA,BALOCHPURA,B14,7695.20304,3152947.939,PEHOWA
3641,PEHOWA,KURUKSHETRA,HARYANA,SANDHOLI,S14,14077.73652,8847489.446,PEHOWA
3642,PEHOWA,KURUKSHETRA,HARYANA,SANDHOLA,S13,11192.63035,6541942.218,PEHOWA
3643,PEHOWA,KURUKSHETRA,HARYANA,ASMANPUR,A12,10034.05257,6064425.694,PEHOWA
3644,PEHOWA,KURUKSHETRA,HARYANA,ARNAICHA,A11,8556.22079,4385954.647,PEHOWA
3645,PEHOWA,KURUKSHETRA,HARYANA,PEHOWA,P07,17153.97748,10979092.74,PEHOWA
3646,PEHOWA,KURUKSHETRA,HARYANA,DHANI RAMPURA,D19,7686.74044,3230130.482,PEHOWA
3647,PEHOWA,KURUKSHETRA,HARYANA,URNAI,U05,15623.52469,8611144.939,PEHOWA
3648,PEHOWA,KURUKSHETRA,HARYANA,SURASWATI KHERA,S50,10761.40987,5618214.995,PEHOWA
3649,PEHOWA,KURUKSHETRA,HARYANA,TALEHERI,T04,10968.89663,5611504.197,PEHOWA
3652,PEHOWA,KURUKSHETRA,HARYANA,GANGHERI,G04,7424.715015,3506768.814,PEHOWA
3656,PEHOWA,KURUKSHETRA,HARYANA,TEOKAR,T11,8203.353912,2772807.271,PEHOWA
3657,PEHOWA,KURUKSHETRA,HARYANA,BODNI,B64,13282.83151,9194751.046,PEHOWA
3658,PEHOWA,KURUKSHETRA,HARYANA,JULMAT,J22,6864.249615,2469175.742,PEHOWA
3659,PEHOWA,KURUKSHETRA,HARYANA,KALSA,K09,13036.1345,9450232.551,PEHOWA
3660,PEHOWA,KURUKSHETRA,HARYANA,MOHANPUR,M24,15397.57851,6495382.39,PEHOWA
3661,PEHOWA,KURUKSHETRA,HARYANA,SHAHPUR,S27,6137.499045,2067592.81,PEHOWA
3662,PEHOWA,KURUKSHETRA,HARYANA,ISHAK,I02,17189.35305,12958018.9,PEHOWA
3663,PEHOWA,KURUKSHETRA,HARYANA,SIYANA SAIDAN,S38,14542.10996,11715905.34,PEHOWA
3664,PEHOWA,KURUKSHETRA,HARYANA,JORASI KHURD,J24,7194.373595,2357288.297,PEHOWA
3665,PEHOWA,KURUKSHETRA,HARYANA,JORASI KALAN,J23,8812.201824,4501347.424,PEHOWA
3666,PEHOWA,KURUKSHETRA,HARYANA,TIKRI,T22,6769.344232,2475473.656,PEHOWA
3667,PEHOWA,KURUKSHETRA,HARYANA,MORTHALI,M28,9692.580248,4884376.719,PEHOWA
3668,PEHOWA,KURUKSHETRA,HARYANA,JHINWARHERI,J14,9754.352692,4154655.204,PEHOWA
3669,PEHOWA,KURUKSHETRA,HARYANA,BAKHLI,B12,20297.17924,18358566.06,PEHOWA
3670,PEHOWA,KURUKSHETRA,HARYANA,SATORA,S20,9617.76154,3042965.675,PEHOWA
3671,PEHOWA,KURUKSHETRA,HARYANA,GULDEHRA,G22,16731.67454,9189290.516,PEHOWA
3672,PEHOWA,KURUKSHETRA,HARYANA,KHERI SHISHGRAN,K39,13514.47912,6566280.573,PEHOWA
3673,PEHOWA,KURUKSHETRA,HARYANA,KARAHA,K18,16883.46288,10964343.53,PEHOWA
3674,PEHOWA,KURUKSHETRA,HARYANA,HELWA,H09,9665.702206,3220190.44,PEHOWA
3848,PEHOWA,KURUKSHETRA,HARYANA,SARSA,S19,20658.2231,14780786.92,PEHOWA
3849,PEHOWA,KURUKSHETRA,HARYANA,RUAN,R21,9734.912992,6560905,PEHOWA
3850,PEHOWA,KURUKSHETRA,HARYANA,BATHERI,B29,10293.18501,6939204.09,PEHOWA
3851,PEHOWA,KURUKSHETRA,HARYANA,THEH MALBORA,T18,13921.28316,5764398.462,PEHOWA
3852,PEHOWA,KURUKSHETRA,HARYANA,GUMTHALA GARHU,G23,31172.43002,24826877.04,PEHOWA
